"ddos.start","starts an ddos Attack"
"dos.start","starts an dos Attack"
"host.getip","get ip address of host by host url"
"ip.get","gets host name from ip"
"ip.info","to get IP info"
"wlan/show.pass",Show Wifi passwords"
"pass.bruteforce", "to brute force usernames and password of the website"
"ftp.bruteforce","to brute force ftp servers"
"admin.panelfinder","to find the Admin Panel of the website"
"xss/webchecker","to find the xss vulnerability in the  website"
"sitetester","Runs the website checker"
